 INFO  Accepting connections at http://localhost:3000
 HTTP  2/28/2026 9:45:49 PM ::1 GET /forum
 HTTP  2/28/2026 9:45:49 PM ::1 Returned 200 in 35 ms
 HTTP  2/28/2026 9:45:49 PM ::1 GET /static/css/main.529ed7dd.css
 HTTP  2/28/2026 9:45:49 PM ::1 Returned 200 in 8 ms
 HTTP  2/28/2026 9:45:49 PM ::1 GET /static/js/main.17191b73.js
 HTTP  2/28/2026 9:45:49 PM ::1 Returned 200 in 8 ms
 HTTP  2/28/2026 9:45:49 PM ::1 GET /images/logo.png
 HTTP  2/28/2026 9:45:49 PM ::1 GET /images/footer-logo.png
 HTTP  2/28/2026 9:45:49 PM ::1 Returned 200 in 10 ms
 HTTP  2/28/2026 9:45:49 PM ::1 Returned 200 in 12 ms
 HTTP  2/28/2026 9:45:49 PM ::1 GET /undefined/api/forum/kategoriler
 HTTP  2/28/2026 9:45:49 PM ::1 Returned 200 in 4 ms
 HTTP  2/28/2026 9:46:18 PM ::1 GET /forum
 HTTP  2/28/2026 9:46:18 PM ::1 Returned 200 in 2 ms
 HTTP  2/28/2026 9:46:18 PM ::1 GET /static/css/main.529ed7dd.css
 HTTP  2/28/2026 9:46:18 PM ::1 Returned 200 in 3 ms
 HTTP  2/28/2026 9:46:18 PM ::1 GET /static/js/main.17191b73.js
 HTTP  2/28/2026 9:46:18 PM ::1 Returned 200 in 2 ms
 HTTP  2/28/2026 9:46:18 PM ::1 GET /images/logo.png
 HTTP  2/28/2026 9:46:18 PM ::1 GET /images/footer-logo.png
 HTTP  2/28/2026 9:46:18 PM ::1 Returned 200 in 1 ms
 HTTP  2/28/2026 9:46:18 PM ::1 Returned 200 in 2 ms
 HTTP  2/28/2026 9:46:18 PM ::1 GET /undefined/api/forum/kategoriler
 HTTP  2/28/2026 9:46:18 PM ::1 Returned 200 in 2 ms
 HTTP  2/28/2026 9:46:22 PM ::1 GET /profil
 HTTP  2/28/2026 9:46:22 PM ::1 Returned 200 in 1 ms
 HTTP  2/28/2026 9:46:22 PM ::1 GET /static/js/main.17191b73.js
 HTTP  2/28/2026 9:46:22 PM ::1 GET /static/css/main.529ed7dd.css
 HTTP  2/28/2026 9:46:22 PM ::1 Returned 304 in 1 ms
 HTTP  2/28/2026 9:46:22 PM ::1 Returned 304 in 1 ms
 HTTP  2/28/2026 9:46:22 PM ::1 GET /images/logo.png
 HTTP  2/28/2026 9:46:22 PM ::1 Returned 304 in 1 ms
 HTTP  2/28/2026 9:46:22 PM ::1 GET /images/footer-logo.png
 HTTP  2/28/2026 9:46:22 PM ::1 Returned 304 in 0 ms
 HTTP  2/28/2026 9:46:25 PM ::1 GET /hakkimizda
 HTTP  2/28/2026 9:46:25 PM ::1 Returned 200 in 2 ms
 HTTP  2/28/2026 9:46:25 PM ::1 GET /static/js/main.17191b73.js
 HTTP  2/28/2026 9:46:25 PM ::1 GET /static/css/main.529ed7dd.css
 HTTP  2/28/2026 9:46:25 PM ::1 Returned 304 in 1 ms
 HTTP  2/28/2026 9:46:25 PM ::1 Returned 304 in 2 ms
 HTTP  2/28/2026 9:46:25 PM ::1 GET /images/logo.png
 HTTP  2/28/2026 9:46:25 PM ::1 Returned 304 in 1 ms
 HTTP  2/28/2026 9:46:25 PM ::1 GET /images/footer-logo.png
 HTTP  2/28/2026 9:46:25 PM ::1 Returned 304 in 1 ms
